experiment,log_id,metric,n,rmse
R2,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,velocity_y_m_s,7586,0.0554572552166469
R2,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,velocity_z_m_s,7586,0.1876763864957672
R2,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,body_rate_p_rad_s,7586,0.3956476381249509
R2,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,body_rate_q_rad_s,7586,0.3381615835982779
R2,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,body_rate_r_rad_s,7586,0.086419568356817
R2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,position_horizontal_m,7792,0.0070881308935028
R2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,position_vertical_m,7792,0.003630443570083
R2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,position_m,7792,0.0079637754914981
R2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,velocity_m_s,7792,0.1995960022617112
R2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,attitude_deg,7792,0.5871025003072272
R2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,body_rate_rad_s,7792,0.5467574748726187
R2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,frequency_hz,7792,0.1060415403740586
R2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,phase_rad,7792,0.0411691597267621
R2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,velocity_x_m_s,7792,0.0544233627609179
R2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,velocity_y_m_s,7792,0.0515948266356669
R2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,velocity_z_m_s,7792,0.1849719859035038
R2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,body_rate_p_rad_s,7792,0.4243578650999373
R2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,body_rate_q_rad_s,7792,0.3334683587969088
R2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,body_rate_r_rad_s,7792,0.0875385191684306
R3,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,position_horizontal_m,7841,0.0063647700498
R3,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,position_vertical_m,7841,0.0029400853290093
R3,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,position_m,7841,0.0070110198636637
R3,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,velocity_m_s,7841,0.213752720586577
R3,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,attitude_deg,7841,0.537509574761538
R3,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,body_rate_rad_s,7841,0.5150294633848196
R3,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,frequency_hz,7841,0.1078646305084747
R3,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,phase_rad,7841,0.0416537919279402
R3,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,velocity_x_m_s,7841,0.0557827841090524
R3,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,velocity_y_m_s,7841,0.0600979124693116
R3,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,velocity_z_m_s,7841,0.1973999682675686
R3,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,body_rate_p_rad_s,7841,0.3906378235132068
R3,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,body_rate_q_rad_s,7841,0.3247386188981486
R3,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,body_rate_r_rad_s,7841,0.0848661793145114
R3,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,position_horizontal_m,7391,0.002392518469921
R3,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,position_vertical_m,7391,0.0037905310328625
R3,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,position_m,7391,0.0044824401992672
R3,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,velocity_m_s,7391,0.2023136664518525
R3,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,attitude_deg,7391,0.5089760837980483
R3,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,body_rate_rad_s,7391,0.4754091044061586
R3,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,frequency_hz,7391,0.1077374904889895
R3,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,phase_rad,7391,0.0549630229357541
R3,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,velocity_x_m_s,7391,0.0486643914734979
R3,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,velocity_y_m_s,7391,0.0519329266794411
R3,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,velocity_z_m_s,7391,0.1893820682171714
R3,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,body_rate_p_rad_s,7391,0.3525404032327545
R3,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,body_rate_q_rad_s,7391,0.3100809336557278
R3,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,body_rate_r_rad_s,7391,0.0746920024095264
R3,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,position_horizontal_m,9475,0.006510363328614
R3,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,position_vertical_m,9475,0.0035713224651417
R3,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,position_m,9475,0.0074255757231737
R3,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,velocity_m_s,9475,0.2042105719144535
R3,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,attitude_deg,9475,0.5359103088769331
R3,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,body_rate_rad_s,9475,0.4962668586284952
R3,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,frequency_hz,9475,0.1066636646956185
R3,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,phase_rad,9475,0.041065695231787
R3,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,velocity_x_m_s,9475,0.053541970735932
R3,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,velocity_y_m_s,9475,0.0545334003704016
R3,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,velocity_z_m_s,9475,0.1893708617907789
