mode,pattern,horizon,cohort,metric,seed,value
ALL_original,ALL,500ms,Sep7,body_rate_rad_s,42,0.6267512849310521
ALL_original,ALL,500ms,Sep7,p_rad_s,17,0.5596513339601463
ALL_original,ALL,500ms,Sep7,p_rad_s,23,0.5563843635708219
ALL_original,ALL,500ms,Sep7,p_rad_s,42,0.5642067692936086
ALL_original,ALL,500ms,Sep7,position_m,17,0.2494006868689943
ALL_original,ALL,500ms,Sep7,position_m,23,0.24829344337083115
ALL_original,ALL,500ms,Sep7,position_m,42,0.24778728140150566
ALL_original,ALL,500ms,Sep7,q_rad_s,17,0.2522491201617408
ALL_original,ALL,500ms,Sep7,q_rad_s,23,0.2491536051134607
ALL_original,ALL,500ms,Sep7,q_rad_s,42,0.23292044912703025
ALL_original,ALL,500ms,Sep7,r_rad_s,17,0.14146655961309493
ALL_original,ALL,500ms,Sep7,r_rad_s,23,0.1415010707587261
ALL_original,ALL,500ms,Sep7,r_rad_s,42,0.1364506967621028
ALL_original,ALL,500ms,Sep7,roll_deg,17,2.4539489839959607
ALL_original,ALL,500ms,Sep7,roll_deg,23,2.474746334036947
ALL_original,ALL,500ms,Sep7,roll_deg,42,2.500517731558279
ALL_original,ALL,500ms,Sep7,velocity_m_s,17,0.34246965574354493
ALL_original,ALL,500ms,Sep7,velocity_m_s,23,0.3438607887399991
ALL_original,ALL,500ms,Sep7,velocity_m_s,42,0.3420055009220493
ALL_original,ALL,interval_0_500ms,ALL,attitude_deg,17,2.6878141172982706
ALL_original,ALL,interval_0_500ms,ALL,attitude_deg,23,2.7292931286411792
ALL_original,ALL,interval_0_500ms,ALL,attitude_deg,42,2.745185058669094
ALL_original,ALL,interval_0_500ms,ALL,body_rate_rad_s,17,0.5670763531062886
ALL_original,ALL,interval_0_500ms,ALL,body_rate_rad_s,23,0.5667346177011522
ALL_original,ALL,interval_0_500ms,ALL,body_rate_rad_s,42,0.5657999593957922
ALL_original,ALL,interval_0_500ms,ALL,p_rad_s,17,0.5022227305909771
ALL_original,ALL,interval_0_500ms,ALL,p_rad_s,23,0.49723798678144737
ALL_original,ALL,interval_0_500ms,ALL,p_rad_s,42,0.5028699242883611
ALL_original,ALL,interval_0_500ms,ALL,position_m,17,0.11024861966575723
ALL_original,ALL,interval_0_500ms,ALL,position_m,23,0.11138193939900011
ALL_original,ALL,interval_0_500ms,ALL,position_m,42,0.10958481301193758
ALL_original,ALL,interval_0_500ms,ALL,q_rad_s,17,0.2223503660225474
ALL_original,ALL,interval_0_500ms,ALL,q_rad_s,23,0.2320008115495586
ALL_original,ALL,interval_0_500ms,ALL,q_rad_s,42,0.2185539200424694
ALL_original,ALL,interval_0_500ms,ALL,r_rad_s,17,0.13914960896512163
ALL_original,ALL,interval_0_500ms,ALL,r_rad_s,23,0.13880950757706362
ALL_original,ALL,interval_0_500ms,ALL,r_rad_s,42,0.13704523325456267
ALL_original,ALL,interval_0_500ms,ALL,roll_deg,17,1.8818280981739266
ALL_original,ALL,interval_0_500ms,ALL,roll_deg,23,1.8326279439792166
ALL_original,ALL,interval_0_500ms,ALL,roll_deg,42,1.936951249505356
ALL_original,ALL,interval_0_500ms,ALL,velocity_m_s,17,0.23524000656620814
ALL_original,ALL,interval_0_500ms,ALL,velocity_m_s,23,0.2438976676361052
ALL_original,ALL,interval_0_500ms,ALL,velocity_m_s,42,0.2389721569622474
ALL_original,ALL,interval_0_500ms,Sep17,attitude_deg,17,2.9688090045722424
ALL_original,ALL,interval_0_500ms,Sep17,attitude_deg,23,2.993080373528775
ALL_original,ALL,interval_0_500ms,Sep17,attitude_deg,42,3.0650592042352502
ALL_original,ALL,interval_0_500ms,Sep17,body_rate_rad_s,17,0.5453938295042287
ALL_original,ALL,interval_0_500ms,Sep17,body_rate_rad_s,23,0.54424274647921
ALL_original,ALL,interval_0_500ms,Sep17,body_rate_rad_s,42,0.5426081487798768
ALL_original,ALL,interval_0_500ms,Sep17,p_rad_s,17,0.47472263132175074
ALL_original,ALL,interval_0_500ms,Sep17,p_rad_s,23,0.46460471627165567
ALL_original,ALL,interval_0_500ms,Sep17,p_rad_s,42,0.47160359631266713
ALL_original,ALL,interval_0_500ms,Sep17,position_m,17,0.06951366272878629
ALL_original,ALL,interval_0_500ms,Sep17,position_m,23,0.07254267089989916
ALL_original,ALL,interval_0_500ms,Sep17,position_m,42,0.06913315337138969
ALL_original,ALL,interval_0_500ms,Sep17,q_rad_s,17,0.22509295449167807
ALL_original,ALL,interval_0_500ms,Sep17,q_rad_s,23,0.24336727799324198
ALL_original,ALL,interval_0_500ms,Sep17,q_rad_s,42,0.22493992423223774
ALL_original,ALL,interval_0_500ms,Sep17,r_rad_s,17,0.14576834171431183
ALL_original,ALL,interval_0_500ms,Sep17,r_rad_s,23,0.14471897754497554
ALL_original,ALL,interval_0_500ms,Sep17,r_rad_s,42,0.14562654871558234
ALL_original,ALL,interval_0_500ms,Sep17,roll_deg,17,2.1462224099435634
ALL_original,ALL,interval_0_500ms,Sep17,roll_deg,23,2.007800221229668
ALL_original,ALL,interval_0_500ms,Sep17,roll_deg,42,2.2226746169819
ALL_original,ALL,interval_0_500ms,Sep17,velocity_m_s,17,0.2586624908043639
ALL_original,ALL,interval_0_500ms,Sep17,velocity_m_s,23,0.27048194124485586
ALL_original,ALL,interval_0_500ms,Sep17,velocity_m_s,42,0.2622414007720761
ALL_original,ALL,interval_0_500ms,Sep7,attitude_deg,17,2.438040884165852
ALL_original,ALL,interval_0_500ms,Sep7,attitude_deg,23,2.4948155776299834
ALL_original,ALL,interval_0_500ms,Sep7,attitude_deg,42,2.46085248483251
ALL_original,ALL,interval_0_500ms,Sep7,body_rate_rad_s,17,0.5863497074192308
ALL_original,ALL,interval_0_500ms,Sep7,body_rate_rad_s,23,0.5867273921206563
ALL_original,ALL,interval_0_500ms,Sep7,body_rate_rad_s,42,0.5864149021654946
ALL_original,ALL,interval_0_500ms,Sep7,p_rad_s,17,0.5266672632747338
ALL_original,ALL,interval_0_500ms,Sep7,p_rad_s,23,0.5262453383457069
ALL_original,ALL,interval_0_500ms,Sep7,p_rad_s,42,0.5306622158223112
ALL_original,ALL,interval_0_500ms,Sep7,position_m,17,0.14645747027639805
ALL_original,ALL,interval_0_500ms,Sep7,position_m,23,0.14590573362042317
ALL_original,ALL,interval_0_500ms,Sep7,position_m,42,0.14554184380353574
ALL_original,ALL,interval_0_500ms,Sep7,q_rad_s,17,0.21991250960554237
ALL_original,ALL,interval_0_500ms,Sep7,q_rad_s,23,0.22189728582183998
ALL_original,ALL,interval_0_500ms,Sep7,q_rad_s,42,0.21287747187378642
ALL_original,ALL,interval_0_500ms,Sep7,r_rad_s,17,0.13326629096584144
ALL_original,ALL,interval_0_500ms,Sep7,r_rad_s,23,0.13355664538336412
ALL_original,ALL,interval_0_500ms,Sep7,r_rad_s,42,0.12941739728921187
ALL_original,ALL,interval_0_500ms,Sep7,roll_deg,17,1.6468109321564717
ALL_original,ALL,interval_0_500ms,Sep7,roll_deg,23,1.6769192530899264
ALL_original,ALL,interval_0_500ms,Sep7,roll_deg,42,1.6829749228595392
ALL_original,ALL,interval_0_500ms,Sep7,velocity_m_s,17,0.2144200205767364
ALL_original,ALL,interval_0_500ms,Sep7,velocity_m_s,23,0.22026720220610463
ALL_original,ALL,interval_0_500ms,Sep7,velocity_m_s,42,0.2182883846868441
ALL_original,ALL,interval_500_1000ms,ALL,attitude_deg,17,5.488630981035595
ALL_original,ALL,interval_500_1000ms,ALL,attitude_deg,23,5.406635652785525
ALL_original,ALL,interval_500_1000ms,ALL,attitude_deg,42,5.544158648620777
ALL_original,ALL,interval_500_1000ms,ALL,body_rate_rad_s,17,0.6017371924672171
ALL_original,ALL,interval_500_1000ms,ALL,body_rate_rad_s,23,0.6078807514510575
ALL_original,ALL,interval_500_1000ms,ALL,body_rate_rad_s,42,0.597298769933037
ALL_original,ALL,interval_500_1000ms,ALL,p_rad_s,17,0.5147037238555805
ALL_original,ALL,interval_500_1000ms,ALL,p_rad_s,23,0.5094133842284293
ALL_original,ALL,interval_500_1000ms,ALL,p_rad_s,42,0.5162851941058885
ALL_original,ALL,interval_500_1000ms,ALL,position_m,17,0.3372523800422989
