mode,pattern,horizon,cohort,metric,mean,std
ALL_original,lower_change,200ms,Sep17,attitude_deg,1.9397131089355308,0.032338846463731086
ALL_original,lower_change,200ms,Sep17,body_rate_rad_s,0.5183109202380676,0.004276195801758007
ALL_original,lower_change,200ms,Sep17,p_rad_s,0.4553742504487199,0.004270839226302638
ALL_original,lower_change,200ms,Sep17,position_m,0.038066211314046534,0.0007405968672699125
ALL_original,lower_change,200ms,Sep17,q_rad_s,0.20588198069782557,0.008454366432288552
ALL_original,lower_change,200ms,Sep17,r_rad_s,0.13345779530020718,0.0010169057710064106
ALL_original,lower_change,200ms,Sep17,roll_deg,1.348956694330867,0.10715217183283118
ALL_original,lower_change,200ms,Sep17,velocity_m_s,0.17383794993834964,0.0018287310744795721
ALL_original,lower_change,200ms,Sep7,attitude_deg,1.9078050471343289,0.022133894169595134
ALL_original,lower_change,200ms,Sep7,body_rate_rad_s,0.5832224414148938,0.004645050061887745
ALL_original,lower_change,200ms,Sep7,p_rad_s,0.5285680105711857,0.0031935750986818675
ALL_original,lower_change,200ms,Sep7,position_m,0.09421927650184451,0.00027641353752454423
ALL_original,lower_change,200ms,Sep7,q_rad_s,0.20427059061877714,0.005727995825659286
ALL_original,lower_change,200ms,Sep7,r_rad_s,0.13423095912470492,0.002963792049309192
ALL_original,lower_change,200ms,Sep7,roll_deg,1.254773704161656,0.03320609641756162
ALL_original,lower_change,200ms,Sep7,velocity_m_s,0.14419686681919242,0.004476196688418863
ALL_original,lower_change,500ms,ALL,attitude_deg,3.543696888311709,0.03828028105201837
ALL_original,lower_change,500ms,ALL,body_rate_rad_s,0.5647737599154374,0.0028592679147626306
ALL_original,lower_change,500ms,ALL,p_rad_s,0.49999493084997315,0.004034580384613658
ALL_original,lower_change,500ms,ALL,position_m,0.18180338232846519,0.002360162406585206
ALL_original,lower_change,500ms,ALL,q_rad_s,0.22018991912397246,0.01372764334367208
ALL_original,lower_change,500ms,ALL,r_rad_s,0.13453442262865478,0.003652310471423334
ALL_original,lower_change,500ms,ALL,roll_deg,2.485711596798272,0.14181522576739727
ALL_original,lower_change,500ms,ALL,velocity_m_s,0.29088061136084636,0.009129269517737942
ALL_original,lower_change,500ms,Sep17,attitude_deg,3.7580194841737096,0.11410989470296727
ALL_original,lower_change,500ms,Sep17,body_rate_rad_s,0.505083613102292,0.006258405454382574
