mode,horizon_s,n,knn_mean,knn_median,knn_p90,knn_p95,knn_max,mahalanobis_mean,mahalanobis_median,mahalanobis_p90,mahalanobis_p95,mahalanobis_max,knn_outside_train_p99_mean,knn_outside_train_p99_median,knn_outside_train_p99_p90,knn_outside_train_p99_p95,knn_outside_train_p99_max,knn_outside_leave_log_p99_mean,knn_outside_leave_log_p99_median,knn_outside_leave_log_p99_p90,knn_outside_leave_log_p99_p95,knn_outside_leave_log_p99_max,mahalanobis_outside_train_p99_mean,mahalanobis_outside_train_p99_median,mahalanobis_outside_train_p99_p90,mahalanobis_outside_train_p99_p95,mahalanobis_outside_train_p99_max
D,3.8000000000000003,722,0.5084478552569313,0.5154873728752136,0.6015862047672271,0.6242210447788239,0.8325979113578796,0.8976654820660145,0.900244951248169,1.0548500299453736,1.1042083978652952,1.3095892667770386,0.8199445983379502,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,4.0,722,0.508993778821504,0.5133097171783447,0.5980710625648499,0.6285320669412613,0.8393909335136414,0.8995045724007562,0.8973596096038818,1.072922658920288,1.1061729967594145,1.3193457126617432,0.8130193905817175,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,4.2,722,0.5092719413567117,0.5150854289531708,0.5969393849372864,0.6220917016267775,0.8504667282104492,0.9018974014431486,0.90257328748703,1.0685208797454833,1.1194617211818696,1.3555324077606201,0.8185595567867036,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,4.4,722,0.5086051778367352,0.5131904184818268,0.6010047674179078,0.6244651675224302,0.8752383589744568,0.9014525196393771,0.9074192941188812,1.0627748370170593,1.1105130910873413,1.3849207162857056,0.8116343490304709,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,4.6000000000000005,722,0.509580790129725,0.5141763091087341,0.5982841432094574,0.6311775594949719,0.877391517162323,0.9044603186961356,0.906787633895874,1.0644822359085082,1.1154902815818786,2.2747480869293213,0.8033240997229917,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0013850415512465374,0.0,0.0,0.0,1.0
D,4.8,722,0.5104601753467999,0.5142782330513,0.6045299768447876,0.6287069648504258,0.7730867266654968,0.9066033554044126,0.9089681506156921,1.0714840769767762,1.1142903864383695,1.9181780815124512,0.8116343490304709,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0013850415512465374,0.0,0.0,0.0,1.0
D,4.98,722,0.5116977821261599,0.5157774388790131,0.6049660980701447,0.6314228892326355,0.7874367833137512,0.9081531429554948,0.9143153727054596,1.0808851599693299,1.110435128211975,1.440956711769104,0.8116343490304709,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,5.0,722,0.5115318437032091,0.5164032280445099,0.6054082214832306,0.6357526212930676,0.7890455722808838,0.9082420561617431,0.9119398295879364,1.0818960189819335,1.1120827972888945,1.4294506311416626,0.8088642659279779,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
teacher,0.0,722,0.5666549041082984,0.5601918697357178,0.6807753384113312,0.7228417873382565,1.0833247900009155,1.108100136561407,1.056577205657959,1.2949734330177305,1.5032766997814173,3.2379183769226074,0.9335180055401662,1.0,1.0,1.0,1.0,0.0013850415512465374,0.0,0.0,0.0,1.0,0.023545706371191136,0.0,0.0,0.0,1.0
teacher,0.2,722,0.5654924942020564,0.5607393383979797,0.6749029695987702,0.7284490287303923,1.0185704231262207,1.1002106006125665,1.0473064184188843,1.318303406238556,1.4792923688888548,3.12001633644104,0.943213296398892,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.023545706371191136,0.0,0.0,0.0,1.0
