log_id,window_id,horizon_s,linear,angular,frequency,linear_body
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:1075:5s,0.2,0.6039652,6.1468406,0.022296827,0.6039652
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:1125:5s,0.2,1.6078858,9.652266,0.04015727,1.6078857
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:1175:5s,0.2,0.29657385,3.6379511,0.053145636,0.29657385
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:1225:5s,0.2,0.94253033,7.322681,0.07932963,0.94253033
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:1275:5s,0.2,0.8330298,5.06935,0.08479087,0.83302975
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:1325:5s,0.2,1.7597059,10.4098015,0.100429684,1.7597058
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:1375:5s,0.2,0.7651069,5.0118833,0.030631578,0.7651069
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:1425:5s,0.2,0.2449471,3.2682395,0.106325455,0.24494709
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:1475:5s,0.2,1.4546103,6.0007024,0.18189254,1.4546103
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:1525:5s,0.2,0.32629004,9.155769,0.09678574,0.3262901
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:1575:5s,0.2,0.38701585,3.1822896,0.0502447,0.38701588
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:1625:5s,0.2,0.43383873,4.122066,0.065921865,0.4338387
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:1675:5s,0.2,0.41514975,7.2178044,0.13102968,0.4151498
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:1725:5s,0.2,0.6137799,7.2913175,0.103217,0.6137799
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:1775:5s,0.2,0.4948775,3.752673,0.07076917,0.49487743
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:1825:5s,0.2,0.9125987,5.504734,0.07516181,0.9125987
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:1875:5s,0.2,0.9508958,5.718512,0.032458406,0.9508958
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:1925:5s,0.2,1.5655618,7.8120165,0.0511977,1.565562
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:1975:5s,0.2,1.1918494,5.3674607,0.14849292,1.1918494
