model,seed,cohort,log_id,horizon_s,position_rmse_m,velocity_rmse_m_s,attitude_error_deg,body_rate_rmse_rad_s,delta_v_rmse_m_s,delta_omega_rmse_rad_s,velocity_x_rmse_m_s,velocity_y_rmse_m_s,velocity_z_rmse_m_s,body_rate_p_rmse_rad_s,body_rate_q_rmse_rad_s,body_rate_r_rmse_rad_s,n_windows,history_steps
B2_StandardGRU,17,Sep7,2026.9.7/log_30_2026-9-7-06-58-22.ulg,0.2,0.26804805695638423,0.32311975962100775,2.2974502416361853,0.6197646415478265,0.32311975962100775,0.6197646415478265,0.13636837147337166,0.13848841132589246,0.25812982440560556,0.49556345674054486,0.3404765513572047,0.15033558870797267,164,1
B2_StandardGRU,17,Sep7,2026.9.7/log_30_2026-9-7-06-58-22.ulg,0.5,0.6665349543644974,0.3948757557988869,3.8555407174370897,0.5989047398048309,0.3948757557988869,0.5989047398048309,0.21599650238069526,0.23428301334190693,0.23320343723128167,0.5223418646169253,0.25922240359925314,0.1365635723808945,164,1
B2_StandardGRU,17,Sep7,2026.9.7/log_30_2026-9-7-06-58-22.ulg,1.0,1.3892712563637164,0.745996212866364,6.099347195036676,0.6643289581272478,0.745996212866364,0.6643289581272478,0.4311022200252268,0.5005633619703574,0.34655092865726267,0.5882589195872852,0.27268887148504317,0.14465540951049133,164,1
B2_StandardGRU,23,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.1,0.039391875640600475,0.5404992216885343,2.2706174522042177,0.6880400365720267,0.5404992216885343,0.6880400365720267,0.14096370254077273,0.12964732855582367,0.5054307206831082,0.5221104361494184,0.41797424524428134,0.16154663321274526,130,1
B2_StandardGRU,23,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.2,0.07706363589009796,0.37139758446301707,3.220350183855244,0.7501176743463583,0.37139758446301707,0.7501176743463583,0.13902890040351085,0.11904387317361269,0.32316510773500806,0.5441844678317006,0.4829047507816968,0.18260008765054145,130,1
B2_StandardGRU,23,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.5,0.16284149010891527,0.4436254708725537,5.65092199920376,0.6728657812754738,0.4436254708725537,0.6728657812754738,0.1963800006736927,0.19670347402909236,0.34575453293801023,0.5611447207980856,0.326764970126087,0.1763224779498911,130,1
B2_StandardGRU,23,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,1.0,0.41360231824395866,0.79973804794453,8.672442214081933,0.6599525080977782,0.79973804794453,0.6599525080977782,0.42794472655607846,0.520788733135622,0.430375826205381,0.544469097002088,0.3152251684585481,0.1993083252765892,130,1
B2_StandardGRU,23,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.1,0.03541598028141145,0.5072491005538421,2.1739509614124084,0.6727508072988907,0.5072491005538421,0.6727508072988907,0.13010084400473249,0.11118816669985601,0.47750666172092626,0.5340656871751261,0.3725918288126158,0.16894620328832402,145,1
B2_StandardGRU,23,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.2,0.06788770119805396,0.3464539125276054,3.0068519674776315,0.6995367196980506,0.3464539125276054,0.6995367196980506,0.11719869430366459,0.11443735744001124,0.30528490100453526,0.5088291323012634,0.43284232647572135,0.2075862633666723,145,1
B2_StandardGRU,23,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.5,0.14974570576630186,0.3952479223760775,5.291970430109122,0.6283731039897005,0.3952479223760775,0.6283731039897005,0.17346272729791345,0.17973705210047114,0.3063106176468717,0.5220128189372004,0.300944526206666,0.17829124159401097,145,1
B2_StandardGRU,23,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,1.0,0.3442408649580049,0.5793537180323894,7.112649956176316,0.6238417106523749,0.5793537180323894,0.6238417106523749,0.31954576511371646,0.3296407429829711,0.3533811188525467,0.5013295118937718,0.32159148028663403,0.1855427720529298,145,1
B2_StandardGRU,23,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,0.1,0.03538605921828068,0.49936724841697183,1.942513924671326,0.6261388384096732,0.49936724841697183,0.6261388384096732,0.13296419790881459,0.12001062145801358,0.4661390582254019,0.45322046759016366,0.40213500224278503,0.15788759512249076,144,1
B2_StandardGRU,23,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,0.2,0.06577074957090018,0.3181817224271617,2.9424331378314954,0.6722428804912994,0.3181817224271617,0.6722428804912994,0.12110577429644916,0.14658288864437616,0.25512047482599925,0.48505035769354643,0.42695023517357683,0.1853379010289843,144,1
B2_StandardGRU,23,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,0.5,0.13105323284885223,0.3560716982362059,5.1005068367542625,0.6296750936298954,0.3560716982362059,0.6296750936298954,0.19520786512713184,0.1454816012523634,0.2598385024863935,0.5198726372967732,0.3170655275178243,0.16028916303904947,144,1
B2_StandardGRU,23,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,1.0,0.338916027427231,0.6755481439793154,6.56571762486956,0.5878632507120949,0.6755481439793154,0.5878632507120949,0.4040321417755552,0.4059808417265474,0.35819391312131427,0.4730145472934096,0.29859545728892345,0.180779402789756,144,1
