group,interval,axis,cohort,seed,n_origins,n_direction,n_flights,n_direction_flights
common_high,late,vx,Sep17,23,249,213,8,8
common_high,late,vx,Sep17,42,249,213,8,8
common_high,late,vx,Sep7,17,191,156,9,9
common_high,late,vx,Sep7,23,191,156,9,9
common_high,late,vx,Sep7,42,191,156,9,9
common_high,late,vy,ALL,17,440,375,17,17
common_high,late,vy,ALL,23,440,375,17,17
common_high,late,vy,ALL,42,440,375,17,17
common_high,late,vy,Sep17,17,249,214,8,8
common_high,late,vy,Sep17,23,249,214,8,8
common_high,late,vy,Sep17,42,249,214,8,8
common_high,late,vy,Sep7,17,191,161,9,9
common_high,late,vy,Sep7,23,191,161,9,9
common_high,late,vy,Sep7,42,191,161,9,9
common_high,late,vz,ALL,17,440,374,17,17
common_high,late,vz,ALL,23,440,374,17,17
common_high,late,vz,ALL,42,440,374,17,17
common_high,late,vz,Sep17,17,249,212,8,8
common_high,late,vz,Sep17,23,249,212,8,8
common_high,late,vz,Sep17,42,249,212,8,8
common_high,late,vz,Sep7,17,191,162,9,9
common_high,late,vz,Sep7,23,191,162,9,9
common_high,late,vz,Sep7,42,191,162,9,9
common_high,middle,p,ALL,17,440,355,17,17
common_high,middle,p,ALL,23,440,355,17,17
common_high,middle,p,ALL,42,440,355,17,17
common_high,middle,p,Sep17,17,249,204,8,8
common_high,middle,p,Sep17,23,249,204,8,8
common_high,middle,p,Sep17,42,249,204,8,8
common_high,middle,p,Sep7,17,191,151,9,9
common_high,middle,p,Sep7,23,191,151,9,9
common_high,middle,p,Sep7,42,191,151,9,9
common_high,middle,q,ALL,17,440,333,17,17
common_high,middle,q,ALL,23,440,333,17,17
common_high,middle,q,ALL,42,440,333,17,17
common_high,middle,q,Sep17,17,249,196,8,8
common_high,middle,q,Sep17,23,249,196,8,8
common_high,middle,q,Sep17,42,249,196,8,8
common_high,middle,q,Sep7,17,191,137,9,9
common_high,middle,q,Sep7,23,191,137,9,9
common_high,middle,q,Sep7,42,191,137,9,9
common_high,middle,r,ALL,17,440,319,17,17
common_high,middle,r,ALL,23,440,319,17,17
common_high,middle,r,ALL,42,440,319,17,17
common_high,middle,r,Sep17,17,249,189,8,8
common_high,middle,r,Sep17,23,249,189,8,8
common_high,middle,r,Sep17,42,249,189,8,8
common_high,middle,r,Sep7,17,191,130,9,9
common_high,middle,r,Sep7,23,191,130,9,9
common_high,middle,r,Sep7,42,191,130,9,9
common_high,middle,vx,ALL,17,440,325,17,17
common_high,middle,vx,ALL,23,440,325,17,17
common_high,middle,vx,ALL,42,440,325,17,17
common_high,middle,vx,Sep17,17,249,193,8,8
common_high,middle,vx,Sep17,23,249,193,8,8
common_high,middle,vx,Sep17,42,249,193,8,8
common_high,middle,vx,Sep7,17,191,132,9,9
common_high,middle,vx,Sep7,23,191,132,9,9
common_high,middle,vx,Sep7,42,191,132,9,9
