model,seed,cohort,flight_id,horizon_s,position_rmse_m,velocity_rmse_m_s,attitude_error_deg,body_rate_rmse_rad_s,delta_v_rmse_m_s,delta_omega_rmse_rad_s,velocity_x_rmse_m_s,velocity_y_rmse_m_s,velocity_z_rmse_m_s,body_rate_p_rmse_rad_s,body_rate_q_rmse_rad_s,body_rate_r_rmse_rad_s,n_windows
B0_ConstantVelocity,,Sep7,2026.9.7/log_26_2026-9-7-06-30-26.ulg,0.5,0.3511100103018291,0.9936930674170149,21.17921495091223,1.1201016604676999,0.9936930674170149,1.1201016604676999,0.5906467512911837,0.6242453330070029,0.4988788346289935,0.8384907078299192,0.7153459068522908,0.19960284620980054,150
B0_ConstantVelocity,,Sep7,2026.9.7/log_26_2026-9-7-06-30-26.ulg,1.0,1.0020829539995364,1.8084501731109115,42.73781872579514,1.1048146783722332,1.8084501731109115,1.1048146783722332,1.149471248306714,1.173109733280578,0.7569817908136632,0.7945044837421047,0.7270990236610553,0.246384067365512,150
B0_ConstantVelocity,,Sep7,2026.9.7/log_27_2026-9-7-06-37-24.ulg,0.1,0.07429297667126097,0.820548460928283,4.392973778312179,1.2367911230696513,0.820548460928283,1.2367911230696513,0.18545420142651134,0.2116479444039881,0.7707863929355495,1.0309210076888176,0.6704438920937605,0.13175411023543881,155
B0_ConstantVelocity,,Sep7,2026.9.7/log_27_2026-9-7-06-37-24.ulg,0.2,0.15357513642050247,0.7502072559563313,9.913970970718482,1.2853726430126478,0.7502072559563313,1.2853726430126478,0.3095529722814066,0.3347406011178527,0.5957655698381149,1.0003416919242625,0.7942924598926877,0.14352288654095158,155
B0_ConstantVelocity,,Sep7,2026.9.7/log_27_2026-9-7-06-37-24.ulg,0.5,0.4180224219323895,1.0932779241122617,24.51863210231161,1.0560495227469466,1.0932779241122617,1.0560495227469466,0.6832437604581132,0.7482108352734025,0.41062772571484996,0.8607971350183131,0.5884718842561344,0.16724152677595425,155
B0_ConstantVelocity,,Sep7,2026.9.7/log_27_2026-9-7-06-37-24.ulg,1.0,1.177407574326336,2.081787232617004,48.8350361103821,1.1321254416990756,2.081787232617004,1.1321254416990756,1.3185389948339519,1.4548443281142913,0.6918966555368754,0.9201735792860787,0.638893765325899,0.16371730621369476,155
B0_ConstantVelocity,,Sep7,2026.9.7/log_28_2026-9-7-06-44-02.ulg,0.1,0.09484370267316387,0.8280304918107758,4.490057956831094,1.122711074295379,0.8280304918107758,1.122711074295379,0.20821283185600853,0.2022534790945058,0.7754840051303863,0.8854154956019682,0.6780279765706658,0.1296056305910108,140
B0_ConstantVelocity,,Sep7,2026.9.7/log_28_2026-9-7-06-44-02.ulg,0.2,0.19861006284473218,0.6947462566764909,9.651411534617438,1.17913948926771,0.6947462566764909,1.17913948926771,0.3310556871281845,0.2911655422774799,0.536933068618746,0.8754214791066485,0.7761395589460734,0.14701889031086668,140
B0_ConstantVelocity,,Sep7,2026.9.7/log_28_2026-9-7-06-44-02.ulg,0.5,0.5477603859984179,1.0695880257908426,23.211324699583677,1.0072786302983083,1.0695880257908426,1.0072786302983083,0.7047067645502743,0.6692411322211766,0.4466802299806359,0.7844614088224083,0.6044550955443917,0.18402329905318618,140
B0_ConstantVelocity,,Sep7,2026.9.7/log_28_2026-9-7-06-44-02.ulg,1.0,1.3837811071607933,2.0316104994290534,46.62752325831427,1.1468841587530307,2.0316104994290534,1.1468841587530307,1.3735684900141143,1.3194626398823575,0.7069435384706437,0.9141485554036746,0.6636863737251311,0.19798002319327065,140
B0_ConstantVelocity,,Sep7,2026.9.7/log_29_2026-9-7-06-51-04.ulg,0.1,0.055199996224780466,0.8212310833566985,4.312369518980322,1.4002978656067138,0.8212310833566985,1.4002978656067138,0.19195894677171405,0.17089340167954786,0.7799792947815369,1.2190607737618826,0.6710406246493267,0.15629914384935067,201
B0_ConstantVelocity,,Sep7,2026.9.7/log_29_2026-9-7-06-51-04.ulg,0.2,0.1271812399019229,0.7227799225854851,9.887534730739203,1.2529117682251523,0.7227799225854851,1.2529117682251523,0.2947683258350719,0.2839000119866564,0.5957543401193525,1.0100118735043997,0.7233607499056843,0.16252119810380491,201
B0_ConstantVelocity,,Sep7,2026.9.7/log_29_2026-9-7-06-51-04.ulg,0.5,0.38103992686697014,1.098538472236092,23.875847839509497,1.0637131494731142,1.098538472236092,1.0637131494731142,0.6747534996424641,0.7122046446561375,0.4942256911910579,0.8321990611268734,0.6265370407722951,0.21536416499004127,201
B0_ConstantVelocity,,Sep7,2026.9.7/log_29_2026-9-7-06-51-04.ulg,1.0,1.0833916205147986,1.8604759901165384,47.42607043606663,1.2036072680406864,1.8604759901165384,1.2036072680406864,1.2158034091108831,1.2230120437190761,0.6981651102085787,1.0235757659093965,0.5940861271046735,0.21914556966803397,201
B0_ConstantVelocity,,Sep7,2026.9.7/log_30_2026-9-7-06-58-22.ulg,0.1,0.13500953682774294,0.8378836767457206,4.416945652413178,1.1821535166695076,0.8378836767457206,1.1821535166695076,0.23084818017312406,0.19966522726828786,0.7803153019693942,0.9459617754433083,0.6915609051417027,0.1561626423118432,164
