split,log_id,segment_id,target,steps,count,rmse,r2,truth_increment_rms,signal
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D2_center2,5,4013,0.5077023780984429,0.8265079358954407,1.2189037614228573,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D2_center2,10,4008,0.1424353266381025,0.9717509365466224,0.8483546195724414,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D2_center2,10,4008,0.529416677183949,0.7845716809073198,1.1406340357061997,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D2_center2,25,3993,0.1193128581387739,0.9937538723661842,1.5128685451238206,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D2_center2,25,3993,0.5654826077386418,0.7414106468014005,1.1120247621235442,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D2_center5,2,4016,0.1143705509976538,0.9243020135472076,0.4157644046210588,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D2_center5,2,4016,0.8298974408134049,0.2543545055257324,0.9610771835282664,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D2_center5,5,4013,0.1769993398630054,0.9550963937270652,0.8355030329304803,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D2_center5,5,4013,0.6731245326104939,0.6950335552306146,1.2189037614228573,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D2_center5,10,4008,0.1378344228117555,0.9735464472688022,0.8483546195724414,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D2_center5,10,4008,0.7151671653846664,0.6068822160321612,1.1406340357061997,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D2_center5,25,3993,0.1131907739356354,0.994378419753523,1.5128685451238206,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D2_center5,25,3993,0.6888263313672314,0.6163001616246537,1.1120247621235442,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D2_center10,2,4016,0.3027853597067539,0.4694508227882117,0.4157644046210588,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D2_center10,2,4016,0.930492424390909,0.062633926922783,0.9610771835282664,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D2_center10,5,4013,0.5687089231719847,0.5364271284724673,0.8355030329304803,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D2_center10,5,4013,1.0304996974993672,0.2852454050978596,1.2189037614228573,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D2_center10,10,4008,0.4157048674619792,0.7593760555314607,0.8483546195724414,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D2_center10,10,4008,0.9390520654870632,0.3222228839865704,1.1406340357061997,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D2_center10,25,3993,0.3339610129758749,0.9510640644997416,1.5128685451238206,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D2_center10,25,3993,0.8607608251489712,0.4008478499641124,1.1120247621235442,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D0_raw,2,408,3.4523979694063667e-18,1.0,0.378534187076406,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D0_raw,2,408,2.782352082284309e-17,1.0,0.798901209604076,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D0_raw,5,405,3.3783010802711764e-18,1.0,0.7896197419779944,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D0_raw,5,405,4.567478885874098e-17,1.0,1.02194530707917,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D0_raw,10,400,3.5381555418772985e-18,1.0,0.8949765870906696,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D0_raw,10,400,6.128657988533221e-17,1.0,1.1059443275043517,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D0_raw,25,385,4.9129069294909335e-18,1.0,1.5168847564779244,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D0_raw,25,385,9.811803358310945e-17,1.0,1.07967518282014,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D1_lp4,2,408,0.1357152743049777,0.8687271986337056,0.378534187076406,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D1_lp4,2,408,0.7092316549836734,0.211853562240961,0.798901209604076,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D1_lp4,5,405,0.2368990631503494,0.9071499022337282,0.7896197419779944,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D1_lp4,5,405,0.6600898871965454,0.5827395770548169,1.02194530707917,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D1_lp4,10,400,0.196884622495048,0.9464599627889468,0.8949765870906696,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D1_lp4,10,400,0.6588007724078959,0.6449595731800484,1.1059443275043517,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D1_lp4,25,385,0.1514559117855015,0.987542351701701,1.5168847564779244,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D1_lp4,25,385,0.6300632680138074,0.659173108276932,1.07967518282014,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D1_lp6,2,408,0.0703090562623968,0.9647677943148464,0.378534187076406,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D1_lp6,2,408,0.6399703467729447,0.3582728742411624,0.798901209604076,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D1_lp6,5,405,0.0682640043341516,0.9922902694632628,0.7896197419779944,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D1_lp6,5,405,0.499273903573746,0.7612855170886945,1.02194530707917,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D1_lp6,10,400,0.0770970537285709,0.9917902366667196,0.8949765870906696,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D1_lp6,10,400,0.5704243570932268,0.7338259389073387,1.1059443275043517,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D1_lp6,25,385,0.0664716032652487,0.9976004162407384,1.5168847564779244,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D1_lp6,25,385,0.5375668448020555,0.7518978765917874,1.07967518282014,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D1_lp8,2,408,0.0461715143109781,0.9848062305305392,0.378534187076406,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D1_lp8,2,408,0.5427946943413072,0.5383616474040903,0.798901209604076,omega
