model,window_id,log_id,cohort,horizon_s,position_horizontal_m,position_vertical_m,position_m,velocity_m_s,attitude_deg,body_rate_rad_s,frequency_hz,phase_rad,velocity_x_m_s,velocity_y_m_s,velocity_z_m_s,body_rate_p_rad_s,body_rate_q_rad_s,body_rate_r_rad_s
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:3275,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.37579453144288544,0.31632041931152344,0.49120274585530954,0.9055222813761564,6.173992814962062,0.4032119994112314,0.04903221130371094,0.444918877762085,0.5195884704589844,0.5693283081054688,0.4752511978149414,0.09337301552295685,0.3922198414802551,0.00499923899769783
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:3325,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.36895444884887973,0.06980323791503906,0.3754995037930199,0.6958098180837421,6.321064075997799,0.5156198228050463,0.03516435623168945,0.02841982028882484,0.49546241760253906,0.48434746265411377,0.06384223606437445,0.42436328530311584,0.2923121452331543,0.01825413666665554
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:3375,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.08040032644569303,0.29955101013183594,0.3101532204630113,0.4489180129002033,5.86441036070779,0.28126339132159106,0.06757640838623047,0.002164649116593864,0.04932975769042969,0.2675647735595703,0.35707569122314453,0.08304491639137268,0.24338749051094055,0.11390858888626099
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:3425,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.518253834866108,0.30243873596191406,0.6000468534736829,0.9483009569870844,9.056450168574335,0.495966238961116,0.06881427764892578,0.260683839070538,0.4024481773376465,0.7133204936981201,0.47800004482269287,0.07288064062595367,0.17506128549575806,0.45828426629304886
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:3475,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.024258480547050407,0.09901618957519531,0.10194449311484481,0.15713707156452733,6.825002668837137,0.27835207628199693,0.024957656860351562,0.15048074296108638,0.002391815185546875,0.008499622344970703,0.15688879787921906,0.25512005388736725,0.10544583201408386,0.03570452332496643
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:3525,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.24557342972656854,0.11035537719726562,0.26922967641777656,0.5108383641019932,4.947673135715944,0.2696411113211205,0.0817873477935791,0.19503613521715835,0.4126448631286621,0.03801155090332031,0.2987225688993931,0.26048435270786285,0.021733224391937256,0.06619590520858765
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:3575,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.08570296622220738,0.09603118896484375,0.12871281083593175,0.17957149348072463,5.099597431949504,0.4036465198379488,0.05917096138000488,0.14071685441503945,0.03927135467529297,0.009790420532226562,0.17495093494653702,0.34899330139160156,0.0783584713935852,0.1870672032237053
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:3625,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.1005524540812567,0.02503204345703125,0.1036214225987944,0.3313991669835279,3.117879279030349,0.02312645565789827,0.026952266693115234,0.2198138063088706,0.22787761688232422,0.13714265823364258,0.1977096125483513,0.019133434165269136,0.012287914752960205,0.004213288426399231
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:3675,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.0925514589708403,0.04723930358886719,0.10391017448350424,0.2922857947812565,2.8638521081544925,0.0837473373935774,0.059125423431396484,0.07830452522463105,0.23067998886108398,0.07382893562316895,0.16360628604888916,0.07269978523254395,0.027704954147338867,0.030996665358543396
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:3725,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.09877435046721995,0.12418937683105469,0.1586800983989703,0.3212788491779881,7.054645819232264,0.340718080486538,0.10617852210998535,0.05801625963396617,0.2768373489379883,0.06356453895568848,0.15013570711016655,0.24446620047092438,0.22920316457748413,0.061571069061756134
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:3775,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.39960507383168936,0.056636810302734375,0.40359874047536104,0.8752667551521441,7.933090428744118,0.3556074830935927,0.09378647804260254,0.14289950578402255,0.21748924255371094,0.8459355235099792,0.056421734392642975,0.23974794149398804,0.13201904296875,0.22704312118003145
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:3825,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.06513439450270778,0.07285499572753906,0.09772583972365806,0.266536382144089,3.3652778311013885,0.13146357109435922,0.07271933555603027,0.13012518584849175,0.13104724884033203,0.2070610523223877,0.10485219210386276,0.06802457571029663,0.1016230583190918,0.04825019836425781
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:3875,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.11565418471131463,0.00469970703125,0.11574963363837684,0.14889712171447206,4.890214922795201,0.29947312510014445,0.08011436462402344,0.16638155366528196,0.127105712890625,0.07085394859313965,0.03153107315301895,0.29243771731853485,0.06387132406234741,0.009208045899868011
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:3925,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.2787020094583683,0.040897369384765625,0.2816867140969314,0.7262826466054797,9.938200968885974,0.5687539273996535,0.08192300796508789,0.023138668762832992,0.42075490951538086,0.5625391006469727,0.18439508974552155,0.5570081025362015,0.0733569860458374,0.08855369128286839
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:3975,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.03126104818934801,0.2541999816894531,0.25611498164850693,0.4309442765520217,3.431606259030936,0.3975494433942006,0.052556514739990234,0.18584458539553594,0.0647735595703125,0.06454133987426758,0.42113153636455536,0.3852788209915161,0.043372392654418945,0.08788984920829535
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:4025,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.08502847936889396,0.014307022094726562,0.0862237391035985,0.3374219622918933,5.857263013263551,0.48742256111720184,0.03596687316894531,0.05702930047055332,0.030852317810058594,0.3278026580810547,0.07380469143390656,0.04258103668689728,0.31942880153656006,0.365695022046566
