kind,condition,seed,group,group_rule,step,horizon_s,flight_id,cohort,n_origins,metric,value
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,130,body_rate_rmse_rad_s,0.5258756572968916
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,145,position_rmse_m,0.015077820255727835
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,145,velocity_rmse_m_s,0.1070882299885352
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,145,attitude_error_deg,1.13566807844647
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,145,body_rate_rmse_rad_s,0.548524217171056
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,144,position_rmse_m,0.010229431509969166
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,144,velocity_rmse_m_s,0.0988726917483109
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,144,attitude_error_deg,0.9816497673101471
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,144,body_rate_rmse_rad_s,0.5055243173734697
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,153,position_rmse_m,0.01209524021366851
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,153,velocity_rmse_m_s,0.12226405366502976
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,153,attitude_error_deg,1.0878146410867657
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,153,body_rate_rmse_rad_s,0.5333582541026932
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,138,position_rmse_m,0.015858352536422534
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,138,velocity_rmse_m_s,0.09636702420771381
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,138,attitude_error_deg,0.9442438015595125
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,138,body_rate_rmse_rad_s,0.4856453458780742
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,131,position_rmse_m,0.016470906435973796
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,131,velocity_rmse_m_s,0.09987553311053644
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,131,attitude_error_deg,0.9838194971576925
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,131,body_rate_rmse_rad_s,0.46581744220244153
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,146,position_rmse_m,0.010539182055951266
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,146,velocity_rmse_m_s,0.1067081318585397
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,146,attitude_error_deg,0.9884181349903856
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,146,body_rate_rmse_rad_s,0.48761650118840355
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,114,position_rmse_m,0.010329621919708553
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,114,velocity_rmse_m_s,0.14409837955219498
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,114,attitude_error_deg,1.047893709269491
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,114,body_rate_rmse_rad_s,0.5488399243418431
endpoint,Actual,17,low,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,72,position_rmse_m,0.014030980881229121
endpoint,Actual,17,low,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,72,velocity_rmse_m_s,0.12430832372272152
endpoint,Actual,17,low,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,72,attitude_error_deg,1.274674567533438
endpoint,Actual,17,low,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,72,body_rate_rmse_rad_s,0.5030338277492435
endpoint,Actual,17,low,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,60,position_rmse_m,0.05583913272435417
endpoint,Actual,17,low,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,60,velocity_rmse_m_s,0.10760654950895605
endpoint,Actual,17,low,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,60,attitude_error_deg,1.437270309243063
