kind,condition,group,group_rule,step,horizon_s,metric,cohort,mean,std,min,max,n_seeds,n_flights,n_origins
interval,Actual,high,horizon_specific_train_quantiles,25,0.5,velocity_rmse_m_s,ALL,0.35045865977444685,0.0049759945161082664,0.34531942516787073,0.35525352361874274,3,17,454
interval,Actual,high,horizon_specific_train_quantiles,25,0.5,velocity_rmse_m_s,Sep17,0.3767295587878315,0.010708068776900023,0.36480842873762037,0.3855322586927916,3,8,269
interval,Actual,high,horizon_specific_train_quantiles,25,0.5,velocity_rmse_m_s,Sep7,0.3271067495403272,0.0018452356992062207,0.3249852897399668,0.3283390924418104,3,9,185
interval,Actual,high,horizon_specific_train_quantiles,50,1.0,attitude_error_deg,ALL,5.345612580115076,0.046152768110697164,5.316198271849883,5.398805794792238,3,17,468
interval,Actual,high,horizon_specific_train_quantiles,50,1.0,attitude_error_deg,Sep17,5.993515006148964,0.0907398283313789,5.93898311686244,6.098262698538001,3,8,273
interval,Actual,high,horizon_specific_train_quantiles,50,1.0,attitude_error_deg,Sep7,4.769699312529397,0.007231341524808059,4.762611742949833,4.777066324796003,3,9,195
interval,Actual,high,horizon_specific_train_quantiles,50,1.0,body_rate_rmse_rad_s,ALL,0.6406045823207643,0.0014893183298153555,0.6393420821973907,0.6422470886142664,3,17,468
interval,Actual,high,horizon_specific_train_quantiles,50,1.0,body_rate_rmse_rad_s,Sep17,0.633811779901606,0.004465129670276868,0.6311372258602447,0.6389664452287424,3,8,273
interval,Actual,high,horizon_specific_train_quantiles,50,1.0,body_rate_rmse_rad_s,Sep7,0.6466426289155717,0.0015772400383812415,0.6451632160680655,0.6483022208532058,3,9,195
interval,Actual,high,horizon_specific_train_quantiles,50,1.0,position_rmse_m,ALL,0.32132581141379796,0.0035086055961595203,0.317688150861274,0.32468927190725116,3,17,468
interval,Actual,high,horizon_specific_train_quantiles,50,1.0,position_rmse_m,Sep17,0.23978992828623444,0.0115186404595883,0.22744826994308814,0.25025513518258335,3,8,273
interval,Actual,high,horizon_specific_train_quantiles,50,1.0,position_rmse_m,Sep7,0.3938021519716322,0.0036622403565373675,0.39085294899584483,0.3979013783441058,3,9,195
interval,Actual,high,horizon_specific_train_quantiles,50,1.0,velocity_rmse_m_s,ALL,0.5529459482040779,0.011663907246134595,0.5401196257048231,0.5629173141422052,3,17,468
interval,Actual,high,horizon_specific_train_quantiles,50,1.0,velocity_rmse_m_s,Sep17,0.5721019171945215,0.026161029339767657,0.5426794443224461,0.5927408870662979,3,8,273
interval,Actual,high,horizon_specific_train_quantiles,50,1.0,velocity_rmse_m_s,Sep7,0.5359184202125725,0.002211275731680823,0.5335035577166589,0.5378442313780472,3,9,195
interval,Actual,low,horizon_specific_train_quantiles,5,0.1,attitude_error_deg,ALL,0.9229874142726624,0.017235749433751654,0.9032348223102149,0.9349725942281389,3,17,684
interval,Actual,low,horizon_specific_train_quantiles,5,0.1,attitude_error_deg,Sep17,0.8961699902593082,0.015125975526156897,0.8789807171269698,0.9074463804503091,3,8,228
interval,Actual,low,horizon_specific_train_quantiles,5,0.1,attitude_error_deg,Sep7,0.946825124506755,0.01914643253122756,0.9247940269175441,0.9594403398084322,3,9,456
interval,Actual,low,horizon_specific_train_quantiles,5,0.1,body_rate_rmse_rad_s,ALL,0.4811730319712031,0.004832986356816541,0.47579634984771885,0.4851560637807412,3,17,684
interval,Actual,low,horizon_specific_train_quantiles,5,0.1,body_rate_rmse_rad_s,Sep17,0.4433906703392785,0.0054087854094023655,0.43766173095309713,0.4484090666181791,3,8,228
interval,Actual,low,horizon_specific_train_quantiles,5,0.1,body_rate_rmse_rad_s,Sep7,0.5147573534218028,0.004417198938589906,0.5096937888651604,0.5178200612585743,3,9,456
interval,Actual,low,horizon_specific_train_quantiles,5,0.1,position_rmse_m,ALL,0.020536874178537664,5.261819920557529e-05,0.020479457568044007,0.020582792205374408,3,17,684
interval,Actual,low,horizon_specific_train_quantiles,5,0.1,position_rmse_m,Sep17,0.011811815889759608,0.00014659070705937103,0.01170839422528175,0.011979573285427354,3,8,228
interval,Actual,low,horizon_specific_train_quantiles,5,0.1,position_rmse_m,Sep7,0.028292481546340387,7.20799141484333e-05,0.028230097911994014,0.028371388409861125,3,9,456
interval,Actual,low,horizon_specific_train_quantiles,5,0.1,velocity_rmse_m_s,ALL,0.08502857719523678,0.002624931079200279,0.08213788948245442,0.08726335539400756,3,17,684
interval,Actual,low,horizon_specific_train_quantiles,5,0.1,velocity_rmse_m_s,Sep17,0.08824161787557233,0.0029096317949285043,0.0852494515158988,0.09106101603646516,3,8,228
interval,Actual,low,horizon_specific_train_quantiles,5,0.1,velocity_rmse_m_s,Sep7,0.08217254103493855,0.0024456452008893184,0.07937205656383721,0.08388765704515638,3,9,456
interval,Actual,low,horizon_specific_train_quantiles,10,0.2,attitude_error_deg,ALL,1.3509101206403369,0.02568630864103751,1.3222475090620236,1.3718465361739025,3,17,787
interval,Actual,low,horizon_specific_train_quantiles,10,0.2,attitude_error_deg,Sep17,1.333671032977218,0.028121876496595092,1.3049737082341404,1.3611797714174012,3,8,240
interval,Actual,low,horizon_specific_train_quantiles,10,0.2,attitude_error_deg,Sep7,1.3662337541186653,0.024808044754922955,1.3376019986868086,1.3813281048463477,3,9,547
interval,Actual,low,horizon_specific_train_quantiles,10,0.2,body_rate_rmse_rad_s,ALL,0.5299049635537804,0.0012345274057420626,0.5290911040207565,0.5313254427324611,3,17,787
interval,Actual,low,horizon_specific_train_quantiles,10,0.2,body_rate_rmse_rad_s,Sep17,0.4878092106315381,0.0012046930498132494,0.48654049911177255,0.4889375943804853,3,8,240
interval,Actual,low,horizon_specific_train_quantiles,10,0.2,body_rate_rmse_rad_s,Sep7,0.5673234105957734,0.0025493929290073777,0.5647831125898866,0.5698818021369985,3,9,547
interval,Actual,low,horizon_specific_train_quantiles,10,0.2,position_rmse_m,ALL,0.04163580442786495,0.0001734368604821296,0.041438676370842364,0.04176495834726805,3,17,787
interval,Actual,low,horizon_specific_train_quantiles,10,0.2,position_rmse_m,Sep17,0.02211163305436012,0.0003893768854695458,0.02173830969190619,0.02251528922681332,3,8,240
interval,Actual,low,horizon_specific_train_quantiles,10,0.2,position_rmse_m,Sep7,0.05899062342653591,0.0001395838089191843,0.058875775343227806,0.05914598151759429,3,9,547
interval,Actual,low,horizon_specific_train_quantiles,10,0.2,velocity_rmse_m_s,ALL,0.12033436125194537,0.0020290350205697995,0.11827308618676412,0.12232954113401849,3,17,787
interval,Actual,low,horizon_specific_train_quantiles,10,0.2,velocity_rmse_m_s,Sep17,0.12789076690394172,0.0006949587815171646,0.12731942796486337,0.12866443900721092,3,8,240
interval,Actual,low,horizon_specific_train_quantiles,10,0.2,velocity_rmse_m_s,Sep7,0.11361755622794863,0.004024726767924354,0.10990388836188698,0.1178940861732675,3,9,547
interval,Actual,low,horizon_specific_train_quantiles,25,0.5,attitude_error_deg,ALL,2.273767283277609,0.032480958799034,2.236478535622243,2.295900877394322,3,17,888
interval,Actual,low,horizon_specific_train_quantiles,25,0.5,attitude_error_deg,Sep17,2.2755679989278335,0.04809634879931382,2.232795266572189,2.3276321875992676,3,8,201
interval,Actual,low,horizon_specific_train_quantiles,25,0.5,attitude_error_deg,Sep7,2.272166647144076,0.034865490855387274,2.2397525525556237,2.309052120553344,3,9,687
interval,Actual,low,horizon_specific_train_quantiles,25,0.5,body_rate_rmse_rad_s,ALL,0.54517159172967,0.0018435726265480326,0.5430716011844126,0.5465237290412961,3,17,888
interval,Actual,low,horizon_specific_train_quantiles,25,0.5,body_rate_rmse_rad_s,Sep17,0.5148181320564511,0.004619131176406747,0.5095407215433558,0.5181262225025987,3,8,201
interval,Actual,low,horizon_specific_train_quantiles,25,0.5,body_rate_rmse_rad_s,Sep7,0.5721524447725311,0.0006278041873913703,0.5717659570756938,0.5728768275320184,3,9,687
interval,Actual,low,horizon_specific_train_quantiles,25,0.5,position_rmse_m,ALL,0.10473567984226566,0.0013956010313743439,0.10333098002783783,0.10612200055461891,3,17,888
interval,Actual,low,horizon_specific_train_quantiles,25,0.5,position_rmse_m,Sep17,0.06412203568931908,0.0029145617062800726,0.06142161082088946,0.0672116299353249,3,8,201
interval,Actual,low,horizon_specific_train_quantiles,25,0.5,position_rmse_m,Sep7,0.14083669686710706,0.0003355430590674599,0.1405837526562364,0.1412173412844267,3,9,687
interval,Actual,low,horizon_specific_train_quantiles,25,0.5,velocity_rmse_m_s,ALL,0.19475167374476773,0.004771229897245914,0.19155185988721016,0.20023558996680393,3,17,888
interval,Actual,low,horizon_specific_train_quantiles,25,0.5,velocity_rmse_m_s,Sep17,0.2077412838909127,0.010207071015277656,0.1993280987143853,0.2190961654422791,3,8,201
interval,Actual,low,horizon_specific_train_quantiles,25,0.5,velocity_rmse_m_s,Sep7,0.18320535361486104,0.003304606965795312,0.17977610199488703,0.1863693248610923,3,9,687
interval,Actual,low,horizon_specific_train_quantiles,50,1.0,attitude_error_deg,ALL,3.7029958557888865,0.06600190532420651,3.644910409182712,3.77476810256049,3,17,926
interval,Actual,low,horizon_specific_train_quantiles,50,1.0,attitude_error_deg,Sep17,3.9130841410029724,0.17169053623115998,3.7507742833906996,4.092825442207915,3,8,208
interval,Actual,low,horizon_specific_train_quantiles,50,1.0,attitude_error_deg,Sep7,3.516250713376365,0.030718340990847783,3.4920504673183332,3.5508091876645014,3,9,718
interval,Actual,low,horizon_specific_train_quantiles,50,1.0,body_rate_rmse_rad_s,ALL,0.561407744916957,0.004092633541148399,0.5575511136849448,0.5657013186493922,3,17,926
interval,Actual,low,horizon_specific_train_quantiles,50,1.0,body_rate_rmse_rad_s,Sep17,0.535089196600027,0.006849915151421951,0.5291201732701285,0.5425680834103135,3,8,208
interval,Actual,low,horizon_specific_train_quantiles,50,1.0,body_rate_rmse_rad_s,Sep7,0.5848020100875614,0.0017778174423214621,0.5828230607203371,0.5862641944174621,3,9,718
interval,Actual,low,horizon_specific_train_quantiles,50,1.0,position_rmse_m,ALL,0.2424743119829733,0.004397463754885684,0.2380986092228067,0.24689321838065167,3,17,926
