model,offset,origin,steps,common_steps,feedback_rmse,hold_rmse
ensemble,0.2,1,25,25,0.6209088412570114,0.6198896591748847
ensemble,0.2,1,50,50,0.6346575389253074,0.6318584994677056
ensemble,0.2,2,5,5,0.40091381975836626,0.4204640684533134
ensemble,0.2,2,10,10,0.7034617639788263,0.7193426179068181
ensemble,0.2,2,25,25,0.7879797844850279,0.7846953024263179
ensemble,0.2,2,50,50,0.8281100895895235,0.8216129722943715
ensemble,0.2,3,5,0,,
ensemble,0.2,3,10,0,,
ensemble,0.2,3,25,0,,
ensemble,0.2,3,50,0,,
ensemble,0.2,4,5,5,0.7492357240327909,0.729367615649885
ensemble,0.2,4,10,10,1.0297356027279192,1.0110342478033139
ensemble,0.2,4,25,25,0.9463650870321298,0.9413889573115007
ensemble,0.2,4,50,50,0.9432287721881033,0.9439568984868715
ensemble,0.2,5,5,0,,
ensemble,0.2,5,10,0,,
ensemble,0.2,5,25,0,,
ensemble,0.2,5,50,0,,
ensemble,0.2,6,5,0,,
ensemble,0.2,6,10,0,,
ensemble,0.2,6,25,0,,
ensemble,0.2,6,50,0,,
ensemble,0.2,7,5,0,,
ensemble,0.2,7,10,0,,
ensemble,0.2,7,25,0,,
ensemble,0.2,7,50,0,,
ensemble,0.2,8,5,0,,
ensemble,0.2,8,10,0,,
ensemble,0.2,8,25,0,,
ensemble,0.2,8,50,0,,
ensemble,0.2,9,5,0,,
ensemble,0.2,9,10,0,,
ensemble,0.2,9,25,0,,
ensemble,0.2,9,50,0,,
ensemble,0.2,10,5,0,,
ensemble,0.2,10,10,0,,
ensemble,0.2,10,25,0,,
ensemble,0.2,10,50,0,,
ensemble,0.2,11,5,5,0.6542627536410851,0.6297700126109476
ensemble,0.2,11,10,10,0.5003042850347293,0.48055667902775806
ensemble,0.2,11,25,25,0.48873443742197215,0.4868596049377898
ensemble,0.2,11,50,50,0.4471731999783802,0.4467016120871787
ensemble,0.2,12,5,0,,
ensemble,0.2,12,10,0,,
ensemble,0.2,12,25,0,,
ensemble,0.2,12,50,0,,
ensemble,0.2,13,5,5,0.5905559534259675,0.5710229571660816
ensemble,0.2,13,10,10,0.6738280311903437,0.6548349554166217
ensemble,0.2,13,25,25,0.714269215549224,0.7066191025878082
ensemble,0.2,13,50,50,0.6401814762133754,0.6379164069485317
ensemble,0.2,14,5,5,0.5443599483675425,0.5224319084797344
ensemble,0.2,14,10,10,0.44235109496338176,0.4360996636576118
ensemble,0.2,14,25,25,0.41321635955313735,0.4092315822819037
ensemble,0.2,14,50,50,0.39850640544984356,0.39678438878969213
ensemble,0.2,15,5,5,0.2795248417928315,0.27972819794387044
ensemble,0.2,15,10,10,0.32198622583399483,0.31390690117256065
ensemble,0.2,15,25,25,0.33586155563857956,0.33545969271547216
ensemble,0.2,15,50,50,0.3442407024100666,0.3436011923110346
ensemble,0.2,16,5,5,0.6860338123801618,0.666857419675454
ensemble,0.2,16,10,10,0.9176975229333578,0.9005575383915223
ensemble,0.2,16,25,25,0.852298914428186,0.8479628438765814
ensemble,0.2,16,50,50,0.8522902725299527,0.8532780667215486
ensemble,0.2,17,5,5,0.5244701160374515,0.504319801758416
ensemble,0.2,17,10,10,0.415035232061904,0.4069094994395387
ensemble,0.2,17,25,25,0.4015616378258722,0.39853517533342103
ensemble,0.2,17,50,36,0.4088466262647729,0.4069535850683591
ensemble,0.2,18,5,0,,
ensemble,0.2,18,10,0,,
ensemble,0.2,18,25,0,,
ensemble,0.2,18,50,0,,
ensemble,0.2,19,5,5,0.2724106137180595,0.2807428503814927
ensemble,0.2,19,10,10,0.6546919231322227,0.6470287710047047
ensemble,0.2,19,25,25,0.5904985241730588,0.5904301188607374
ensemble,0.2,19,50,50,0.5968801847862568,0.6001935489330776
ensemble,0.2,20,5,5,0.5139255120742009,0.5282770949761985
ensemble,0.2,20,10,10,0.46387936961181064,0.46941621138571854
ensemble,0.2,20,25,25,0.42339833622409867,0.42679625371030916
ensemble,0.2,20,50,50,0.4301609925573523,0.4305037744686899
ensemble,0.2,21,5,0,,
ensemble,0.2,21,10,0,,
ensemble,0.2,21,25,0,,
ensemble,0.2,21,50,0,,
ensemble,0.2,22,5,5,0.40084394143017255,0.4061015241684289
ensemble,0.2,22,10,10,0.5897998099602005,0.57673564737478
ensemble,0.2,22,25,25,0.6446256824228538,0.6336259468106559
ensemble,0.2,22,50,50,0.6094233159297208,0.6018545765457768
ensemble,0.2,23,5,5,0.29971265835216954,0.30762481476210374
ensemble,0.2,23,10,10,0.47495409493237006,0.4876979836256894
ensemble,0.2,23,25,25,0.4530686010609708,0.4553399291629835
ensemble,0.2,23,50,50,0.45157625799125056,0.45219970528300263
ensemble,0.2,24,5,0,,
ensemble,0.2,24,10,0,,
ensemble,0.2,24,25,0,,
ensemble,0.2,24,50,0,,
ensemble,0.2,25,5,5,1.2805117145217024,1.262634715732843
ensemble,0.2,25,10,10,1.0963921780816719,1.0827306559516898
ensemble,0.2,25,25,25,1.0421781125754117,1.0387037412476825
ensemble,0.2,25,50,50,1.038203924152075,1.040864163769638
ensemble,0.2,26,5,0,,
ensemble,0.2,26,10,0,,
ensemble,0.2,26,25,0,,
ensemble,0.2,26,50,0,,
ensemble,0.2,27,5,0,,
ensemble,0.2,27,10,0,,
ensemble,0.2,27,25,0,,
ensemble,0.2,27,50,0,,
ensemble,0.2,28,5,5,0.38977169509413373,0.37043747629900486
ensemble,0.2,28,10,10,0.532322089867437,0.5171475084591041
ensemble,0.2,28,25,25,0.5139087370594043,0.5096195186178702
ensemble,0.2,28,50,50,0.5202077076995298,0.5210394296611329
ensemble,0.2,29,5,0,,
ensemble,0.2,29,10,0,,
ensemble,0.2,29,25,0,,
ensemble,0.2,29,50,0,,
