model,source_model,mode,offset,steps,requested,admitted,completed,completion_fraction,accepted_steps_mean,completed_only_flight_rmse,completed_flights,guard_fraction
ensemble,seed42,replay,0.0,25,51,23,22,0.43137254901960786,10.784313725490197,0.6501754723727592,16,0.0
ensemble,seed42,replay,0.0,50,51,23,21,0.4117647058823529,21.294117647058822,0.6482835068751404,16,0.0
ensemble,seed42,replay,0.2,5,51,23,22,0.43137254901960786,2.156862745098039,0.5870590759010537,16,0.0
ensemble,seed42,replay,0.2,10,51,23,22,0.43137254901960786,4.313725490196078,0.6554004315244857,16,0.0
ensemble,seed42,replay,0.2,25,51,23,22,0.43137254901960786,10.784313725490197,0.6375701356290906,16,0.0
ensemble,seed42,replay,0.2,50,51,23,21,0.4117647058823529,21.294117647058822,0.6365305480844976,16,0.0
seed17,ensemble,replay,-0.2,5,51,23,22,0.43137254901960786,2.156862745098039,0.6853884617427244,16,0.0
seed17,ensemble,replay,-0.2,10,51,23,22,0.43137254901960786,4.313725490196078,0.7120648616855624,16,0.0
seed17,ensemble,replay,-0.2,25,51,23,22,0.43137254901960786,10.784313725490197,0.7024361133450333,16,0.0
seed17,ensemble,replay,-0.2,50,51,23,21,0.4117647058823529,21.254901960784313,0.70321426540059,16,0.0
seed17,ensemble,replay,0.0,5,51,23,22,0.43137254901960786,2.156862745098039,0.6162006568598201,16,0.0
seed17,ensemble,replay,0.0,10,51,23,22,0.43137254901960786,4.313725490196078,0.6627389959800343,16,0.0
seed17,ensemble,replay,0.0,25,51,23,22,0.43137254901960786,10.784313725490197,0.6507305376466042,16,0.0
seed17,ensemble,replay,0.0,50,51,23,21,0.4117647058823529,21.254901960784313,0.6517339300630227,16,0.0
seed17,ensemble,replay,0.2,5,51,23,22,0.43137254901960786,2.156862745098039,0.5897946508689607,16,0.0
seed17,ensemble,replay,0.2,10,51,23,22,0.43137254901960786,4.313725490196078,0.6538713594578887,16,0.0
seed17,ensemble,replay,0.2,25,51,23,22,0.43137254901960786,10.784313725490197,0.6400901540126296,16,0.0
seed17,ensemble,replay,0.2,50,51,23,21,0.4117647058823529,21.254901960784313,0.6413331858595335,16,0.0
seed17,seed17,open_hold,-0.2,5,51,23,22,0.43137254901960786,2.156862745098039,0.6692850103835337,16,0.0
seed17,seed17,open_hold,-0.2,10,51,23,22,0.43137254901960786,4.313725490196078,0.6981937832984415,16,0.0
