mode,pattern,step,cohort,seed,metric,continuous,local100ms,local_minus_continuous
Mission,ALL,15,Sep17,23,position_m,0.05490525605623438,0.016859214504433655,-0.03804604155180072
Mission,ALL,15,Sep17,23,q_rad_s,0.2086319374252138,0.1963268604938649,-0.012305076931348885
Mission,ALL,15,Sep17,23,r_rad_s,0.13871582237052066,0.13568171899519788,-0.003034103375322783
Mission,ALL,15,Sep17,23,roll_deg,1.9128947969859598,0.9709045492023733,-0.9419902477835864
Mission,ALL,15,Sep17,23,velocity_m_s,0.2164324932010735,0.12669300980705836,-0.08973948339401513
Mission,ALL,15,Sep17,42,attitude_deg,2.8608959471442947,1.330064279287519,-1.5308316678567757
Mission,ALL,15,Sep17,42,body_rate_rad_s,0.5399919544000928,0.5148445471353227,-0.02514740726477016
Mission,ALL,15,Sep17,42,p_rad_s,0.48538489401544044,0.46416761128855394,-0.0212172827268865
Mission,ALL,15,Sep17,42,position_m,0.05242493043409593,0.016534118055731545,-0.03589081237836438
Mission,ALL,15,Sep17,42,q_rad_s,0.1878023093998971,0.17972847773131467,-0.008073831668582415
Mission,ALL,15,Sep17,42,r_rad_s,0.14137883220522543,0.12816647610401963,-0.013212356101205802
Mission,ALL,15,Sep17,42,roll_deg,2.1048126005084278,0.9888640311546883,-1.1159485693537394
Mission,ALL,15,Sep17,42,velocity_m_s,0.21054129636370872,0.12743456008894233,-0.08310673627476639
Mission,ALL,15,Sep7,17,attitude_deg,2.1389956921499658,1.227982886093846,-0.9110128060561198
Mission,ALL,15,Sep7,17,body_rate_rad_s,0.5256870959908712,0.5404493129796119,0.014762216988740695
Mission,ALL,15,Sep7,17,p_rad_s,0.47319143941825015,0.4843551312706164,0.011163691852366264
Mission,ALL,15,Sep7,17,position_m,0.08668696851604374,0.028966038399774068,-0.05772093011626967
Mission,ALL,15,Sep7,17,q_rad_s,0.19047066567183352,0.1879611713875267,-0.002509494284306829
Mission,ALL,15,Sep7,17,r_rad_s,0.12320398968011796,0.14688327838994814,0.023679288709830174
Mission,ALL,15,Sep7,17,roll_deg,1.3853618424379888,0.9033506708389439,-0.48201117159904483
Mission,ALL,15,Sep7,17,velocity_m_s,0.17585623158397615,0.10474955874155152,-0.07110667284242463
Mission,ALL,15,Sep7,23,attitude_deg,2.2429216176949107,1.2857639057626986,-0.9571577119322121
Mission,ALL,15,Sep7,23,body_rate_rad_s,0.5187733173254732,0.5360835729965265,0.017310255671053376
Mission,ALL,15,Sep7,23,p_rad_s,0.46807089157641535,0.47556356985677206,0.007492678280356713
Mission,ALL,15,Sep7,23,position_m,0.08529932882336251,0.02848914680299679,-0.056810182020365724
Mission,ALL,15,Sep7,23,q_rad_s,0.18447166526636527,0.19994390554474745,0.015472240278382177
Mission,ALL,15,Sep7,23,r_rad_s,0.12431472488127182,0.14495176739152044,0.020637042510248615
Mission,ALL,15,Sep7,23,roll_deg,1.4991847243941447,0.9828547765044902,-0.5163299478896546
Mission,ALL,15,Sep7,23,velocity_m_s,0.17921581773836429,0.11228118386105584,-0.06693463387730844
Mission,ALL,15,Sep7,42,attitude_deg,2.187171212688028,1.2711393466836798,-0.916031866004348
Mission,ALL,15,Sep7,42,body_rate_rad_s,0.5270128916294907,0.5379308470706123,0.010917955441121618
Mission,ALL,15,Sep7,42,p_rad_s,0.4781891080861676,0.4790449530709564,0.0008558449847888006
Mission,ALL,15,Sep7,42,position_m,0.0854095723074358,0.02873737064741693,-0.05667220166001887
Mission,ALL,15,Sep7,42,q_rad_s,0.18269049232719314,0.1970887890607163,0.014398296733523164
Mission,ALL,15,Sep7,42,r_rad_s,0.12335393984686052,0.14415220617927527,0.020798266332414744
Mission,ALL,15,Sep7,42,roll_deg,1.4811832639234843,0.968724335879755,-0.5124589280437293
Mission,ALL,15,Sep7,42,velocity_m_s,0.1870770553059439,0.11575625825546293,-0.07132079705048097
Mission,ALL,20,ALL,17,attitude_deg,3.229693290565843,1.317630133264459,-1.912063157301384
Mission,ALL,20,ALL,17,body_rate_rad_s,0.5569362292584374,0.528911311180088,-0.028024918078349392
Mission,ALL,20,ALL,17,p_rad_s,0.49982317158397027,0.4790956462667347,-0.020727525317235596
Mission,ALL,20,ALL,17,position_m,0.09000386192465426,0.020055115575015266,-0.06994874634963899
Mission,ALL,20,ALL,17,q_rad_s,0.20421824308356343,0.18319605881947945,-0.021022184264083976
Mission,ALL,20,ALL,17,r_rad_s,0.1315050278557702,0.1262462545694705,-0.0052587732862997005
Mission,ALL,20,ALL,17,roll_deg,2.3184248317829828,1.006570354143812,-1.3118544776391707
Mission,ALL,20,ALL,17,velocity_m_s,0.25045569398408046,0.11680994380113054,-0.13364575018294994
