seed,tau_s,interval,group,flight_id,cohort,n_origins,axis,component,error_mse,rmse,true_amplitude,pred_amplitude,cross_term
42,0.1,0_500ms,ALL,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,145,p,slow,0.029508678414835846,0.17178090235772964,0.4955453745579288,0.46456601884413384,0.046946899498519226
42,0.1,0_500ms,ALL,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,145,p,fast,0.16709713076789043,0.4087751591864291,0.459594913377449,0.27819547374274534,0.046946899498519226
42,0.1,0_500ms,ALL,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,145,q,raw,0.04667435520987962,0.2160424847336274,0.8127448760538463,0.7642100471580907,0.009457277385559524
42,0.1,0_500ms,ALL,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,145,q,slow,0.011665601663179596,0.10800741485277571,0.5636269561309356,0.5408604611388337,0.009457277385559524
42,0.1,0_500ms,ALL,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,145,q,fast,0.02555147616114051,0.15984829107982515,0.4680514782838525,0.42808470208191324,0.009457277385559524
42,0.1,0_500ms,ALL,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,145,r,raw,0.0235598713922359,0.15349225189642604,0.29439607484423064,0.24959330238422883,0.004544941394324083
42,0.1,0_500ms,ALL,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,145,r,slow,0.011438790138768775,0.10695227972684254,0.22523314446111203,0.1923722036855036,0.004544941394324083
42,0.1,0_500ms,ALL,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,145,r,fast,0.007576139859143042,0.0870410240010022,0.11342757590251461,0.08259513242022277,0.004544941394324083
42,0.1,0_500ms,ALL,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,144,p,raw,0.2288620563556042,0.4783952929906441,0.6810798905304615,0.5311418473303184,0.04161546632917086
42,0.1,0_500ms,ALL,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,144,p,slow,0.025385039881866054,0.1593268335273944,0.42681921557295066,0.3911505346293265,0.04161546632917086
42,0.1,0_500ms,ALL,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,144,p,fast,0.16186155014456724,0.4023202084715199,0.43910658900816013,0.271208620947976,0.04161546632917086
42,0.1,0_500ms,ALL,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,144,q,raw,0.048382053991423986,0.21995920983542377,0.8306160540655498,0.7697109356020337,0.008830564778645269
42,0.1,0_500ms,ALL,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,144,q,slow,0.011836213324880166,0.10879436256019963,0.5637389423328574,0.5389016312927456,0.008830564778645269
42,0.1,0_500ms,ALL,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,144,q,fast,0.027715275887898547,0.1664790554030703,0.48198627293108093,0.4279497403316981,0.008830564778645269
42,0.1,0_500ms,ALL,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,144,r,raw,0.02098030044669609,0.1448457815978639,0.2563898114976808,0.20321763682960647,0.00447933214307214
42,0.1,0_500ms,ALL,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,144,r,slow,0.009269682892157412,0.09627919241537816,0.19476566831988146,0.15753487107902142,0.00447933214307214
