tau_s,interval,group,cohort,axis,component,seed,rmse,true_amplitude,pred_amplitude,error_mse,cross_term
0.05,0_500ms,ALL,Sep7,r,raw,17,0.13326629096584142,0.18456521275834317,0.16571460282397485,0.018054389373874116,0.0032757129825043505
0.05,0_500ms,ALL,Sep7,r,raw,23,0.13355664538336412,0.18456521275834317,0.16305725032539764,0.018101818888716772,0.0032238345112582784
0.05,0_500ms,ALL,Sep7,r,raw,42,0.12941739728921187,0.18456521275834317,0.16162495438904198,0.017021033830420192,0.0031077979338539536
0.05,0_500ms,ALL,Sep7,r,slow,17,0.10121048179682093,0.15645420292344067,0.14687780073961895,0.01045144006798781,0.0032757129825043505
0.05,0_500ms,ALL,Sep7,r,slow,23,0.10273389170769062,0.15645420292344067,0.1447692625592131,0.01074597621387628,0.0032238345112582784
0.05,0_500ms,ALL,Sep7,r,slow,42,0.09766975188142583,0.15645420292344067,0.14345794774260542,0.009748450009314725,0.0031077979338539536
0.05,0_500ms,high,ALL,p,fast,17,0.3704880124784909,0.40923846675796105,0.24309333487626472,0.13823144650112207,0.07785731036185585
0.05,0_500ms,high,ALL,p,fast,23,0.36834762470623167,0.40923846675796105,0.2416633565828502,0.13672187037066377,0.07678474646529751
0.05,0_500ms,high,ALL,p,fast,42,0.37032471059313854,0.40923846675796105,0.2452250474619472,0.13822910796041968,0.07836293450148733
0.05,0_500ms,high,ALL,p,raw,17,0.5321620935511685,0.8547710630685428,0.7144285425410127,0.28460146362726757,0.07785731036185585
0.05,0_500ms,high,ALL,p,raw,23,0.5282789322053265,0.8547710630685428,0.7114261775216568,0.28053249713381395,0.07678474646529751
