partition,channel,subset,flight_id,cohort,n_origins,positive,negative,zero,one_direction
train,differential,high,9.14数据/log_13_2026-9-14-18-28-32.ulg,train,210,108,102,0,162
train,differential,high,9.14数据/log_14_2026-9-14-18-34-22.ulg,train,104,43,61,0,71
train,differential,high,9.15数据/log_10_2026-9-15-17-44-04.ulg,train,168,93,75,0,102
train,differential,high,9.15数据/log_11_2026-9-15-17-51-56.ulg,train,169,87,82,0,122
train,differential,high,9.15数据/log_12_2026-9-15-18-03-58.ulg,train,159,78,81,0,111
train,differential,high,9.15数据/log_13_2026-9-15-18-10-58.ulg,train,130,66,64,0,100
train,differential,high,9.15数据/log_14_2026-9-15-18-17-26.ulg,train,182,99,83,0,124
train,differential,high,9.15数据/log_15_2026-9-15-18-23-44.ulg,train,188,96,92,0,133
train,differential,high,9.16数据/log_1_2026-9-16-18-02-34.ulg,train,141,75,66,0,106
train,differential,high,9.16数据/log_2_2026-9-16-18-08-46.ulg,train,153,83,70,0,105
train,differential,high,9.16数据/log_3_2026-9-16-18-13-58.ulg,train,131,65,66,0,93
train,differential,high,9.16数据/log_4_2026-9-16-18-20-50.ulg,train,152,79,73,0,110
train,differential,high,9.16数据/log_5_2026-9-16-18-26-48.ulg,train,113,61,52,0,82
train,differential,high,9.18数据/log_0_2026-9-18-18-15-06.ulg,train,251,123,128,0,180
train,differential,high,9.18数据/log_1_2026-9-18-18-23-36.ulg,train,267,128,139,0,172
train,differential,high,9.18数据/log_2_2026-9-18-18-29-40.ulg,train,236,113,123,0,170
train,differential,isolated,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train,14,6,8,0,10
train,differential,isolated,2026.9.6/log_18_2026-9-6-18-46-20.ulg,train,19,6,13,0,9
train,differential,isolated,2026.9.6/log_19_2026-9-6-18-52-30.ulg,train,11,5,6,0,9
train,differential,isolated,2026.9.6/log_20_2026-9-6-18-58-10.ulg,train,5,1,4,0,2
train,differential,isolated,2026.9.6/log_24_2026-9-6-06-28-38.ulg,train,1,0,1,0,0
train,differential,isolated,2026.9.6/log_28_2026-9-6-07-01-38.ulg,train,9,4,5,0,5
train,differential,isolated,9.11数据/log_13_2026-9-11-18-28-08.ulg,train,1,0,1,0,1
